,,,,,,,,,,,,,,,,,,,Analysis Log,,
Sample ID,Date,Start (UTC),End (UTC),Time span (min),Volume End (mL),"Flow rate
(L/min)","Inlet Temp Start
(C)","Inlet Temp End
(C)","MetOne Start
(# at 0.5um)","MetOne End
(# at 0.5um)","Sigma water
(installation)",Type,taken by,Comment (Sampling),Purpose of Sampling,"dO18
(permil)","dD
(permil)",Air mass origin,Time (Analysis),run by,Comment (Analysis)
1,15-03-2021,22:00,22:40,40,16,300,15.5,14.9,1615,1600,# 1 (13 March),air,Rob,pump rate: 0.8 ml/min,"new airmass expected overnight, 1 sample before",,,,22:45,Rob,smooth
2,16-03-2021,10:02,10:42,40,16,300,16.0,15.0,4623,4500,# 1 (13 March),air,Astrid,pump rate: 0.8 ml/min,"new airmass overnight, 1 sample after",,,,10:57,Astrid,smooth
3,16-03-2021,14:57,15:37,40,18,300,14.6,12.8,2020,1573,# 1 (13 March),air,Rob,pump rate: 0.8 ml/min,during snowfall event,,,,17:10,Rob,smooth
4,16-03-2021,22:02,22:42,40,16,300,13.5,13.4,1641,1592,# 1 (13 March),air,Astrid,pump rate: 0.8 ml/min,"routine measurement, surface air from NYA, upper air from Greenland",,,,23:14,Rob,smooth
5,17-03-2021,10:29,11:09,40,16,300,13.7,12.5,1973,2130,# 1 (13 March),air,Rob,pump rate: 0.8 ml/min,"routine measurement, forecasted low d-excess increasing towards the day",-27,-120,,11:14,Rob,smooth
6,17-03-2021,22:01,22:41,40,17,300,12.7,12.6,1993,1960,# 1 (13 March),air,Tim,pump rate: 0.8 ml/min,"routine measurement, forecasted low d-excess increasing towards the day - after",-28.5,-118,,21:05,Alena,smooth
7,18-03-2021,6:12,6:52,40,17,300,12.2,12.1,1880,1770,# 1 (13 March),air,Rob,pump rate: 0.8 ml/min,"strong inversion, and cold, local air mass?",-27,-121,,8:55,Rob,smooth
8,18-03-2021,16:53,17:33,40,15,300,13.6,12.4,2000,2040,# 1 (13 March),air,Rob,pump rate: 0.7 ml/min,pre storm background b4 Stg WAA,-28.4,-127.1,,,,
9,19-03-2021,1:07,1:47,40,13,300,14.0,13.4,1703,1786,# 1 (13 March),air,Tim,pump rate: 0.7 ml/min,"Forecasted peak d-excess time, storms coming, lots of blowing snow (potentially entering inlet)",-30,-138,West (Greenland - Iceland),,,
10,19-03-2021,4:04,4:44,40,16,300,12.5,12.0,1576,1500,# 1 (13 March),air,Astrid,pump rate: 0.7 ml/min,"Isotopes decreased a lot, currently snowfall, projected to die down soon",-29.1,-156.4,West (Greenland - Iceland),,,
11,19-03-2021,12:10,12:50,40,16,300,19.0,17.9,5200,7443,# 1 (13 March),air,Rob,pump rate: 0.7 ml/min,"wanted to sample minimum in d-excess, currently on the rise at sample though (insane winds and violet sea, lots of sea spray, large aerosol likely sea spray as ground is snow covered/wet)",-23,-115,West (Greenland - Iceland),,,
12,19-03-2021,21:32,22:12,40,15,300,18.0,17.5,17000,10821,# 1 (13 March),air,Tim,pump rate: 0.7 ml/min,"sample for the night, light rain and very dirty, hopefully catch isotopes on ther way up before plateaua tomorrw",-22,-102,West (Greenland - Iceland),22:15,Rob,smooth
13,20-03-2021,7:22,8:02,40,15,300,17.2,16.4,7000,7169,# 1 (13 March),air,Tim,pump rate: 0.7 ml/min,"Expected wind change coming, maybe missed it, but hopefully in between approaching low and upcoming CAO.",-23.5,-108,West (Greenland - Iceland); CAO,,,
14,20-03-2021,11:15,11:55,40,15,300,16.2,15.2,4640,4686,# 1 (13 March),air,Astrid,pump rate: 0.7 ml/min,"Expected change of airmasses coming, hopefully sampled right before transition",-28.5,-155,West (Greenland - Iceland),12:01,Astrid,
15,20-03-2021,13:14,13:54,40,16,300,16.2,15.1,120,3870,# 1 (13 March),air,Rob,pump rate: 0.7 ml/min,"super clean, minumum in pressure expected, likely experiencing airmass transition now, wid shift to NW, increasingly dirty during sample.",-27.8,-154,NW (Greenland - Svalbard),,,brushed analysis tray with arm...
16,20-03-2021,18:18,18:58,40,15,300,17.7,15.0,5400,5128,# 1 (13 March),air,Astrid,pump rate: 0.7 ml/min,"Cold air is arriving, probe start of CAO to see how INP change throughout event.",-26.5,-126.3,NW (Greenland - Svalbard),,,
17,20-03-2021,21:52,22:32,40,17,300,15.8,15.0,6617,6566,# 1 (13 March),air,Tim,pump rate: 0.8 ml/min,"CAO has arived and is under way, see if INP change after during event or if sea surface keeps them constant",-26,-120.2,NW (Greenland - Svalbard),,,
18,21-03-2021,8:24,9:04,40,18,300,14.0,13.0,3341,5863,# 1 (13 March),air,Rob,pump rate: 0.8 ml/min,"Measuring in the heart of the CAO, scattered convective cells with graupel. classic CAO",-26,-116,WNW (Greenland); CAO,,,
19,21-03-2021,18:52,19:32,40,17,300,13.7,13.1,2900,2888,#2 (21 March),air,Rob,pump rate: 0.8 ml/min,"Washed cone #3, d_excess predicted to approach maximum now (hopefully sampling close to end of COA)",-23.3,-93.6,WNW (Greenland); CAO,,,
20,22-03-2021,6:55,7:35,40,17.5,300,15.4,15.1,1344,1803,#2 (21 March),air,Tim,pump rate: 0.8 ml/min,"Washed cone #1, Britta just saw Iceland volcano aerosol lidar at 1.5 km, according to forecast 500m is coming down to surface ",-26.2,-120,West (Greenland - Iceland),,,
21,22-03-2021,12:02,12:42,40,16,300,16.6,17.0,610,546,#2 (21 March),air,Tim,pump rate: 0.7 ml/min,"Washed cone # 4, during warm front passage",-26.4,-137,West (Greenland - Iceland),,,
